Distance (m),Elevation (m),Latitude,Longitude
240.667293546758,269.2635498046875,44.93883225184713,-93.02811431579954
243.67563471609247,269.6260986328125,44.93882927948632,-93.0280763699061
246.68397588542695,269.9519958496094,44.93882630711294,-93.02803842401664
249.69231705476142,270.2596130371094,44.938823334727,-93.02800047813105
252.7006582240959,270.5347595214844,44.93882036232849,-93.02796253224943
255.7089993934304,270.765380859375,44.93881738991742,-93.02792458637174
258.71734056276483,271.0239562988281,44.93881441749378,-93.02788664049797
261.7256817320993,271.4590148925781,44.93881144505757,-93.02784869462812
264.73402290143383,271.9460144042969,44.93880847260881,-93.02781074876225
267.7423640707683,272.6422119140625,44.93880550014747,-93.02777280290024
270.7507052401028,273.6051940917969,44.93880252767357,-93.02773485704222
273.75904640943725,274.6613159179688,44.9387995551871,-93.02769691118806
276.7673875787717,275.7336120605469,44.93879658268806,-93.02765896533788
279.7757287481062,276.8111267089844,44.93879361017648,-93.02762101949162
282.78406991744066,277.8335571289062,44.9387906376523,-93.02758307364928
285.79241108677513,278.668212890625,44.93878766511558,-93.02754512781087
288.8007522561096,279.4190368652344,44.93878469256629,-93.02750718197638
291.8090934254441,280.0645141601562,44.93878172000444,-93.02746923614586
294.81743459477855,280.5418090820312,44.93877874743001,-93.02743129031921
297.825775764113,280.9866638183594,44.93877577484303,-93.02739334449655
300.8341169334475,281.2033081054688,44.93877280224346,-93.02735539867774
303.84245810278196,281.2456665039062,44.93876982963135,-93.02731745286292
306.85079927211643,281.2451477050781,44.93876685700666,-93.02727950705201
309.8591404414509,281.1492309570312,44.93876388436941,-93.02724156124503
312.8674816107854,280.9966430664062,44.9387609117196,-93.02720361544198
315.8758227801199,280.7639770507812,44.93875793905723,-93.02716566964284
318.8841639494544,280.3431396484375,44.93875496638228,-93.02712772384768
321.89250511878885,279.9312438964844,44.93875199369477,-93.02708977805639
324.9008462881233,279.4439392089844,44.93874902099468,-93.02705183226908
327.9091874574578,278.9114074707031,44.93874604828204,-93.02701388648569
330.91752862679226,278.3842468261719,44.93874307555683,-93.02697594070622
333.92586979612673,277.867919921875,44.93874010281907,-93.02693799493068
336.9342109654612,277.3667602539062,44.93873713006872,-93.02690004915905
339.9425521347957,276.9126892089844,44.93873415730582,-93.02686210339135
342.95089330413015,276.6604614257812,44.93873118453035,-93.02682415762763
345.9592344734646,276.4205932617188,44.93872821174232,-93.02678621186777
348.9675756427991,276.2242736816406,44.93872523894172,-93.0267482661119
351.97591681213356,276.0604553222656,44.93872226612856,-93.02671032035994
354.98425798146803,275.905517578125,44.93871929330282,-93.0266723746119
357.9925991508025,275.7487182617188,44.93871632046454,-93.0266344288678
361.00094032013703,275.5929565429688,44.93871334761368,-93.0265964831276
364.0092814894715,275.4679870605469,44.93871037475024,-93.02655853739134
367.017622658806,275.380859375,44.93870740187426,-93.02652059165905
370.02596382814045,275.2995300292969,44.9387044289857,-93.02648264593063
373.0343049974749,275.2557983398438,44.93870145608458,-93.02644470020618
376.0426461668094,275.2321166992188,44.9386984831709,-93.0264067544856
379.05098733614386,275.244873046875,44.93869551024464,-93.026368808769
382.05932850547833,275.3327026367188,44.93869253730583,-93.02633086305633
385.0676696748128,275.4987182617188,44.93868956435444,-93.02629291734763
388.0760108441473,275.6929931640625,44.93868659139049,-93.02625497164274
391.08435201348175,275.9127197265625,44.93868361841398,-93.02621702594189
394.0926931828162,276.1308898925781,44.9386806454249,-93.0261790802449
397.1010343521507,276.3333435058594,44.93867767242327,-93.02614113455189
400.10937552148516,276.50927734375,44.93867469940906,-93.0261031888628
403.11771669081963,276.6487426757812,44.93867172638227,-93.02606524317764
406.1260578601541,276.7705383300781,44.93866875334294,-93.0260272974964
409.1343990294886,276.8766784667969,44.93866578029103,-93.02598935181908
412.1427401988231,276.9452209472656,44.93866280722656,-93.02595140614574
415.1510813681576,276.9423217773438,44.93865983414953,-93.02591346047626
418.15942253749205,276.9202575683594,44.93865686105993,-93.0258755148107
421.1677637068265,276.949951171875,44.93865388795776,-93.02583756914913
424.176104876161,277.0180358886719,44.93865091484303,-93.02579962349148
427.18444604549546,277.1321411132812,44.93864794171573,-93.02576167783775
430.19278721482993,277.41943359375,44.93864496857588,-93.02572373218794
433.2011283841644,277.8104858398438,44.93864199542345,-93.02568578654206
436.2094695534989,278.2098693847656,44.93863902225846,-93.02564784090009
439.21781072283335,278.6304321289062,44.9386360490809,-93.02560989526211
442.2261518921678,279.0316162109375,44.93863307589078,-93.02557194962804
445.2344930615023,279.2539672851562,44.93863010268809,-93.0255340039979
448.24283423083676,279.2682495117188,44.93862712947283,-93.02549605837163
451.25117540017123,279.2204284667969,44.93862415624502,-93.02545811274933
454.2595165695057,278.90087890625,44.93862118300463,-93.02542016713096
457.26785773884023,278.4546508789062,44.93861820975169,-93.02538222151657
460.2761989081747,277.9330749511719,44.93861523648617,-93.02534427590604
463.2845400775092,277.2950439453125,44.9386122632081,-93.02530633029949
466.29288124684365,276.6011962890625,44.93860928991746,-93.0252683846968
469.3012224161781,275.8477172851562,44.93860631661425,-93.0252304390981
472.3095635855126,274.9895629882812,44.93860334329847,-93.02519249350331
475.31790475484706,274.1309509277344,44.93860036997013,-93.02515454791245
478.32624592418153,273.3345031738281,44.93859739662923,-93.02511660232551
481.334587093516,272.5587463378906,44.93859442327575,-93.02507865674255
484.3429282628505,271.9113464355469,44.93859144990972,-93.02504071116346
487.35126943218495,271.4356994628906,44.93858847653112,-93.02500276558834
490.3596106015194,271.0802917480469,44.93858550313995,-93.02496482001709
493.3679517708539,270.8595275878906,44.93858252973623,-93.02492687444987
496.37629294018836,270.9407958984375,44.93857955631993,-93.02488892888653
499.38463410952284,271.0041809082031,44.93857658289107,-93.0248509833271
502.3929752788573,271.1823425292969,44.93857360944963,-93.0248130377716
505.4013164481918,271.3729553222656,44.93857063599566,-93.02477509222001
508.4096576175263,271.5202026367188,44.9385676625291,-93.02473714667241
511.4179987868608,271.6127014160156,44.93856468904998,-93.02469920112873
514.4263399561952,271.6602783203125,44.93856171555829,-93.02466125558897
517.4346811255297,271.66162109375,44.93855874205403,-93.02462331005313
520.4430222948641,271.5843505859375,44.93855576853722,-93.02458536452122
523.4513634641986,271.4874572753906,44.93855279500784,-93.02454741899322
526.4597046335331,271.3330993652344,44.93854982146589,-93.02450947346915
529.4680458028677,271.1582946777344,44.93854684791138,-93.02447152794906
532.4763869722021,270.8324584960938,44.9385438743443,-93.02443358243289
535.4847281415366,270.3098449707031,44.93854090076466,-93.02439563692064
538.4930693108711,269.6808166503906,44.93853792717245,-93.02435769141232
541.5014104802055,268.9887084960938,44.93853495356769,-93.02431974590792
544.50975164954,268.1566772460938,44.93853197995034,-93.02428180040744
547.5180928188745,267.326171875,44.93852900632044,-93.02424385491088
550.526433988209,266.3528442382812,44.93852603267797,-93.0242059094183
553.5347751575434,265.3150024414062,44.93852305902293,-93.02416796392964
556.5431163268779,264.2540588378906,44.93852008535533,-93.02413001844491
559.5514574962124,263.1802368164062,44.93851711167517,-93.0240920729641
562.5597986655469,262.08935546875,44.93851413798244,-93.0240541274872
565.5681398348813,261.0482177734375,44.93851116427716,-93.02401618201424
568.5764810042158,260.125244140625,44.93850819055929,-93.02397823654519
571.5848221735503,259.1925964355469,44.93850521682887,-93.02394029108012
574.5931633428847,258.2206420898438,44.93850224308588,-93.02390234561898
577.6015045122192,257.2394714355469,44.93849926933032,-93.02386440016176
580.6098456815537,256.2805786132812,44.93849629556221,-93.02382645470846
583.6181868508882,255.361328125,44.93849332178152,-93.02378850925908
586.6265280202226,254.4720306396484,44.93849034798828,-93.02375056381362
589.6348691895571,253.7522583007812,44.93848737418246,-93.02371261837209
592.6432103588916,253.2509460449219,44.93848440036408,-93.02367467293453
595.651551528226,252.8103790283203,44.93848142653313,-93.0236367275009
598.6598926975605,252.4905242919922,44.93847845268962,-93.02359878207119
